alternatives_considered,anti_jobs,circumstance,complexity,content_gap,content_needs,context,context_tags,contextual_dimension,cross_references,customer_segment,desired_outcomes,difficulty,doc,doc_type,emotional_dimension,emotional_need,evidence,expected_outcome,frequency,functional_dimension,functional_need,goal,granularity,id,importance,job,job_id,job_map_stage,job_performer,job_statement,job_type,linked_adoc_modules,motivation,notes,original_section_title,outcome,pain_point,pain_points,parent_job,persona,prerequisites,primary_persona,priority,related_jobs,satisfaction_with_current_solution,secondary_persona,section,situation,social_need,source_url,strategic_value,success_criteria,supporting_personas,task_type,taxonomy_category,user_persona,workflow_stage
,,,,,,,,,,,"[""Minimize uncertainty about Argo CD's access scope"", 'Ensure awareness of security implications', 'Reduce risk of unintended permission grants']",,configuring-sso-for-argo-cd-on-openshift.adoc,,,,"modules/gitops-in-built-permissions.adoc -> Lines 1-19 [module: modules/gitops-in-built-permissions.adoc, type: REFERENCE]. States: 'This section lists the permissions that are granted to ArgoCD to manage specific cluster-scoped resources which include cluster operators, optional OLM operators, and user management. Note that ArgoCD is not granted `cluster-admin` permissions.' Lists resource groups: operators.coreos.com, user.openshift.io, rbac.authorization.k8s.io, config.openshift.io, storage.k8s.io, console.openshift.io.",,,,,,user_story,,,,,Define,,"When understanding Argo CD's access scope, I want to review the in-built permissions granted to Argo CD, so I can assess what cluster resources Argo CD can manage",related,,,Source module: modules/gitops-in-built-permissions.adoc (REFERENCE). Assembly: configuring-sso-for-argo-cd-on-openshift.adoc. This is reference content that helps administrators understand the security boundary and scope of Argo CD's cluster access.,,,,,Configure single sign-on integration for Argo CD,Cluster administrator,[],,,"['Plan security boundaries for Argo CD', 'Audit cluster permissions']",,,In-built permissions for Argo CD,,,,,,,,,,
,,After GitOps Operator installation when organizations need to provide Argo CD access to multiple team members,Medium,False,,,,,,,,,,,,,"configuring-sso-for-argo-cd-using-keycloak.adoc -> Assembly introduction: 'After the GitOps Operator is installed, Argo CD automatically creates a user with admin permissions. To manage multiple users, cluster administrators can use Argo CD to configure Single Sign-On (SSO).'",Multiple users can authenticate to Argo CD using their OpenShift credentials through Keycloak,,,,,,,,,,,,"When I need to enable multiple users to access Argo CD beyond the default admin user, I want to configure Single Sign-On (SSO) using Keycloak, so that I can centrally manage user authentication and avoid managing individual Argo CD accounts.",,,"Centralized identity management, reduced administrative overhead, and integration with existing OpenShift authentication",This is a foundational administrative task that enables team collaboration. Keycloak acts as an identity broker between Argo CD and OpenShift. Source: configuring-sso-for-argo-cd-using-keycloak.adoc (ASSEMBLY),,,,,,,,,,"['JOB-002', 'JOB-003']",,,,,,,,,,Configuration,,Cluster Administrator,Administration and Configuration
,,When needing to replace the default Dex configuration with Keycloak for SSO integration,Medium,False,,,,,,,,,,,,,"modules/gitops-creating-a-new-client-using-keycloak.adoc -> Section 'Configuring a new client in Keycloak': 'Dex is installed by default for all the Argo CD instances created by the Operator. However, you can delete the Dex configuration and add Keycloak instead to log in to Argo CD using your OpenShift credentials.' [module: modules/gitops-creating-a-new-client-using-keycloak.adoc, type: PROCEDURE]",Keycloak is configured as SSO provider and Dex configuration is removed from Argo CD CR,,,,,,,,,,,,"When I need to switch from the default Dex SSO provider to Keycloak, I want to configure Keycloak as the identity broker for Argo CD, so that users can log in using OpenShift credentials.",,,"Use Keycloak as preferred identity broker, integrate with OpenShift authentication, maintain consistent identity management",This procedure involves removing .spec.sso.dex parameter from Argo CD CR and setting provider to keycloak. Source module: modules/gitops-creating-a-new-client-using-keycloak.adoc (PROCEDURE),,,,,,,,,,"['JOB-001', 'JOB-003']",,,,,,,,,,Configuration,,Cluster Administrator,Administration and Configuration
,,During Keycloak SSO configuration when deciding how to handle TLS certificate verification,Medium,False,,,,,,,,,,,,,"modules/gitops-creating-a-new-client-using-keycloak.adoc -> Procedure step 3: Two options provided - secure connection with rootCA parameter (PEM-encoded root certificate) vs insecure connection with oidc.tls.insecure.skip.verify set to true [module: modules/gitops-creating-a-new-client-using-keycloak.adoc, type: PROCEDURE]",Keycloak connection is configured with appropriate certificate verification settings,,,,,,,,,,,,"When configuring Keycloak for Argo CD SSO, I want to choose between secure (with rootCA) or insecure connection modes, so that I can match my organization's security requirements and certificate management policies.",,,"Align with security policies, properly handle custom certificates, or accommodate development environments",Decision point: secure production deployments should use rootCA with custom certificate; insecure mode leaves rootCA empty. Keycloak takes 2-3 minutes to install and run. Source module: modules/gitops-creating-a-new-client-using-keycloak.adoc (PROCEDURE),,,,,,,,,,['JOB-002'],,,,,,,,,,Configuration,,Cluster Administrator,Administration and Configuration
,,After Keycloak SSO configuration when needing to manage users and access controls,Low,False,,,,,,,,,,,,,"modules/gitops-logging-into-keycloak.adoc -> Section introduction: 'Log in to the Keycloak console to manage identities or roles and define the permissions assigned to the various roles.' [module: modules/gitops-logging-into-keycloak.adoc, type: PROCEDURE]",Successfully logged into Keycloak console with administrative access to manage identities and roles,,,,,,,,,,,,"When Keycloak SSO is configured, I want to log in to the Keycloak console, so that I can manage user identities, define roles, and assign permissions.",,,"Control who has access to Argo CD, define role-based permissions, manage team member access levels","Prerequisites: default Dex config removed, Argo CD CR configured for Keycloak SSO. Login credentials stored as environment variables in Keycloak pod. Source module: modules/gitops-logging-into-keycloak.adoc (PROCEDURE)",,,,,,,,,,"['JOB-005', 'JOB-006']",,,,,,,,,,Access Management,,Cluster Administrator,Administration and Configuration
,,When needing to access Keycloak console for the first time or after credentials are forgotten,Low,False,,,,,,,,,,,,,"modules/gitops-logging-into-keycloak.adoc -> Procedure steps: Get Keycloak route using 'oc -n argocd get route keycloak', get pod name, extract SSO_ADMIN_USERNAME and SSO_ADMIN_PASSWORD from environment variables [module: modules/gitops-logging-into-keycloak.adoc, type: PROCEDURE]","Retrieved Keycloak route URL, admin username, and password from cluster resources",,,,,,,,,,,,"When I need to access the Keycloak console, I want to retrieve the Keycloak route URL and admin credentials from the cluster, so that I can log in without needing to remember or look up documentation.",,,Quick access to Keycloak console without manual documentation lookup,Credentials stored as environment variables in Keycloak pod. Involves running oc exec commands to retrieve username/password. Source module: modules/gitops-logging-into-keycloak.adoc (PROCEDURE),,,,,,,,,,['JOB-004'],,,,,,,,,,Access Management,,Cluster Administrator,Administration and Configuration
,,When accessing Argo CD after Keycloak SSO has been configured and Keycloak instance is ready,Low,False,,,,,,,,,,,,,"modules/gitops-logging-into-keycloak.adoc -> Procedure steps 3-5: Click 'LOG IN VIA KEYCLOAK', then 'Login with OpenShift', enter OpenShift credentials. Note: kubeadmin login not supported [module: modules/gitops-logging-into-keycloak.adoc, type: PROCEDURE]",Successfully logged into Argo CD using OpenShift credentials through Keycloak,,,,,,,,,,,,"When logging into Argo CD with Keycloak SSO enabled, I want to use the 'LOG IN VIA KEYCLOAK' option with my OpenShift credentials, so that I can access Argo CD without managing separate credentials.",,,"Use existing OpenShift credentials, avoid managing multiple sets of credentials, simplify authentication","LOGIN VIA KEYCLOAK option only appears after Keycloak instance is ready. Cannot use kubeadmin for login. By default, users get read-only access. Source module: modules/gitops-logging-into-keycloak.adoc (PROCEDURE)",,,,,,,,,,['JOB-007'],,,,,,,,,,Access Management,,"Developer, Platform Engineer, Cluster Administrator",Daily Operations
,,After users can log in via Keycloak when needing to assign specific permissions like admin access,Low,False,,,,,,,,,,,,,"modules/gitops-logging-into-keycloak.adoc -> Optional step 6: 'By default, any user logged in to Argo CD has read-only access. You can manage the user level access by updating the argocd-rbac-cm config map' with policy.csv format [module: modules/gitops-logging-into-keycloak.adoc, type: PROCEDURE]","User permissions configured in argocd-rbac-cm allowing appropriate access levels (e.g., admin role)",,,,,,,,,,,,"When users are logging into Argo CD via Keycloak SSO, I want to manage user-level access permissions by updating the argocd-rbac-cm config map, so that I can grant appropriate access levels beyond the default read-only permission.",,,"Control access levels, grant admin permissions to specific users, implement least-privilege access","Default access is read-only. RBAC configured via argocd-rbac-cm config map using policy.csv with name, email, role format. Source module: modules/gitops-logging-into-keycloak.adoc (PROCEDURE)",,,,,,,,,,['JOB-006'],,,,,,,,,,Access Management,,Cluster Administrator,Administration and Configuration
,,When needing to disable Keycloak integration or switch authentication methods,Low,False,,,,,,,,,,,,,"modules/gitops-uninstall-keycloak.adoc -> Section content: 'You can delete the Keycloak resources and their relevant configurations by removing the SSO field from the Argo CD Custom Resource (CR) file.' [module: modules/gitops-uninstall-keycloak.adoc, type: PROCEDURE]",Keycloak resources and configurations removed from Argo CD,,,,,,,,,,,,"When I need to remove Keycloak SSO from Argo CD, I want to delete Keycloak resources by removing the SSO field from the Argo CD CR, so that I can revert to the default configuration or switch to a different SSO provider.",,,"Clean up unused resources, revert to default authentication, troubleshoot SSO issues, prepare for alternative SSO provider",Warning: Keycloak application created this way is not persistent. Additional configurations in Argo CD Keycloak realm are deleted when server restarts. Source module: modules/gitops-uninstall-keycloak.adoc (PROCEDURE). Missing type attribute - inferred as PROCEDURE based on content.,,,,,,,,,,"['JOB-001', 'JOB-002']",,,,,,,,,,Configuration,,Cluster Administrator,Administration and Configuration
,,,,,,,,,,,"['Minimize setup time for SSO integration', 'Reduce complexity of user management', 'Ensure users can authenticate with existing OpenShift credentials', 'Minimize time to configure group-based permissions']",,configuring-sso-on-argo-cd-using-dex.adoc,,,,"gitops-creating-a-new-client-in-dex.adoc -> Lines 5-30: Configuration example showing spec.dex.openShiftOAuth: true, groups configuration, and RBAC policy. 'Dex uses the users and groups defined within OpenShift by checking the OAuth server provided by the platform.'",,,,,,user_story,,,,,Configure,,"As a cluster administrator, when I need to integrate Argo CD with existing OpenShift users and groups, I want to enable Dex with OpenShift OAuth connector, so I can leverage platform authentication without managing separate user databases.",core,,,User story for enabling Dex SSO via OpenShift OAuth. Specific implementation using ArgoCD custom resource with spec.dex.openShiftOAuth property. Includes automatic OAuth server configuration and group-based access control. Source module: gitops-creating-a-new-client-in-dex.adoc (CONCEPT/PROCEDURE hybrid).,,,,,Configure Single Sign-On authentication for Argo CD,Cluster administrator,"['Have ArgoCD custom resource created', 'Have OpenShift OAuth server running']",,,"['Define RBAC policies for user groups', 'Configure group-based access control']",,,Enabling the Dex OpenShift OAuth Connector,,,,,,,,,,
,,,,,,,,,,,"['Minimize time to assign admin roles to users', 'Reduce likelihood of permission misconfigurations', 'Ensure proper role-based access control', 'Minimize manual role assignment overhead']",,configuring-sso-on-argo-cd-using-dex.adoc,,,,"gitops-dex-role-mappings.adoc -> Lines 7-30: Procedure for creating cluster-admins group, adding users, and applying ClusterRole. 'Argo CD cannot map users to specific roles if they have a direct ClusterRoleBinding role. You can manually change the role as role:admin on SSO through OpenShift.'",,,,,,user_story,,,,,Secure,,"As a cluster administrator, when I need to grant admin privileges to specific users in Argo CD, I want to map OpenShift users to Argo CD roles through groups, so I can control access permissions without direct ClusterRoleBinding.",core,,,"User story for role mapping in Dex SSO. Addresses limitation where direct ClusterRoleBinding doesn't work - requires group-based approach. Three-step procedure: create group, add users to group, apply ClusterRole to group. Source module: gitops-dex-role-mappings.adoc (PROCEDURE).",,,,,Configure Single Sign-On authentication for Argo CD,Cluster administrator,"['Enable Dex with OpenShift OAuth', 'Have users defined in OpenShift']",,,"['Configure RBAC policies in Argo CD', 'Manage OpenShift groups and users']",,,Mapping users to specific roles,,,,,,,,,,
,,,,,,,,,,,"['Minimize time to disable SSO when needed', 'Ensure flexibility in authentication configuration', 'Reduce complexity when SSO is not required', 'Minimize risk of authentication conflicts']",,configuring-sso-on-argo-cd-using-dex.adoc,,,,gitops-disable-dex.adoc -> Lines 7-29: Instructions for setting DISABLE_DEX environment variable to true. 'Dex is installed by default for all the Argo CD instances created by the Operator.' IMPORTANT deprecation note: 'DISABLE_DEX is deprecated and is planned to be removed in GitOps v1.10.0.',,,,,,user_story,,,,,Configure,,"As a cluster administrator, when I want to use an alternative SSO provider or disable SSO entirely, I want to disable Dex in the GitOps Operator, so I can configure authentication according to my security requirements.",related,,,"User story for disabling Dex SSO using deprecated DISABLE_DEX environment variable. Important: This approach is deprecated in GitOps v1.6.0, planned removal in v1.10.0. Users should use .spec.sso parameter instead (see next record). Source module: gitops-disable-dex.adoc (PROCEDURE).",,,,,Configure Single Sign-On authentication for Argo CD,Cluster administrator,"['Have GitOps Operator installed', 'Understand authentication alternatives']",,,"['Configure alternative SSO provider', 'Revert to default admin user authentication']",,,Disabling Dex,,,,,,,,,,
,,,,,,,,,,,"['Minimize time to configure SSO provider', 'Ensure future-proof configuration approach', 'Reduce likelihood of using deprecated parameters', 'Minimize migration effort when updating GitOps versions']",,configuring-sso-on-argo-cd-using-dex.adoc,,,,"gitops-disable-dex-using-spec-sso.adoc -> Lines 7-27: Configuration using spec.sso.provider: dex with spec.sso.dex.openShiftOAuth: true. 'You can configure GitOps to use Dex as its SSO authentication provider by setting the .spec.sso parameter.' To disable: 'remove the spec.sso element from the Argo CD custom resource, or specify a different SSO provider.'",,,,,,user_story,,,,,Configure,,"As a cluster administrator, when I need to manage Dex SSO configuration, I want to use the .spec.sso parameter in the ArgoCD custom resource, so I can enable or disable SSO using the current recommended approach.",related,,,"User story for managing Dex using current recommended .spec.sso parameter (replaces deprecated DISABLE_DEX environment variable and .spec.dex parameter). Supports both enabling and disabling Dex, plus switching to alternative SSO providers. Source module: gitops-disable-dex-using-spec-sso.adoc (PROCEDURE).",,,,,Configure Single Sign-On authentication for Argo CD,Cluster administrator,"['Have ArgoCD custom resource created', 'Understand .spec.sso parameter structure']",,,"['Configure alternative SSO providers', 'Enable Dex with OpenShift OAuth']",,,Enabling or disabling Dex using .spec.sso,,,,,,,,,,
,,,,,,,,,,,"['Minimize deployment failures due to resource quota violations', 'Ensure Argo CD workloads have adequate resources allocated', 'Reduce time spent debugging resource quota issues']",,configuring-resource-quota.adoc,,,,"configuring-resource-quota.adoc -> Assembly abstract, lines 10-10. Module configure-workloads.adoc -> Abstract, lines 9-10: 'You can create Argo CD custom resource workloads with resource requests and limits. This is required when you want to deploy the Argo CD instance in a namespace that is configured with resource quotas.'",,,,,,main_job,,,,,Configure,,"When deploying Argo CD in a namespace with resource quotas, I want to configure resource requests and limits for Argo CD workloads, so I can ensure successful deployment and prevent quota-related failures.",core,,,"Main job covering the full lifecycle of managing resource quotas for Argo CD. Includes initial configuration, updates, and removal.",,,,,,Cluster administrator,"['Understand namespace resource quota requirements', 'Have cluster admin permissions']",,,"['Monitor resource utilization', 'Troubleshoot quota-related deployment failures']",,,Configuring resource quota or requests,,,,,,,,,,
,,,,,,,,,,,"['Minimize configuration errors in resource specifications', 'Ensure all Argo CD components (Application Controller, ApplicationSet Controller, Dex, Redis, Repo Server, Server) are properly configured', 'Reduce deployment time by providing correct specifications upfront']",,configuring-resource-quota.adoc,,,,"configure-workloads.adoc -> Section title, lines 7-7 and content lines 12-71. Shows YAML configuration for server, applicationSet, repo, dex, redis, and controller components with CPU and memory requests/limits.",,,,,,user_story,,,,,Configure,,"When deploying Argo CD to a quota-restricted namespace, I want to specify resource requests and limits for each workload component in the custom resource definition, so I can satisfy quota requirements and ensure proper resource allocation.",core,,,User story for initial deployment scenario. Provides specific YAML example covering all 6 main Argo CD workload components. Module type: PROCEDURE.,,,,,Configure resource requests and limits for Argo CD workloads,Cluster administrator,"['Understand resource quota requirements for the namespace', 'Know the resource needs of each Argo CD component']",,,"['Deploy Argo CD instance', 'Validate Argo CD deployment']",,,Configuring workloads with resource requests and limits,,,,,,,,,,
,,,,,,,,,,,"['Minimize downtime when updating resource configurations', 'Ensure changes are applied without deleting existing Argo CD resources', 'Reduce complexity of resource requirement updates']",,configuring-resource-quota.adoc,,,,"patch-argocd-instance.adoc -> Section title, lines 7-7 and abstract lines 9-10: 'You can update the resource requirements for all or any of the workloads post installation.' Procedure shows kubectl patch commands for Application Controller CPU and memory, lines 16-19.",,,,,,user_story,,,,,Modify,,"When resource requirements change after Argo CD deployment, I want to update resource requests and limits using kubectl patch, so I can adjust allocations without recreating the entire instance.",core,,,User story for post-deployment modification scenario. Uses kubectl patch with JSON path operations. Module type: PROCEDURE.,,,,,Configure resource requests and limits for Argo CD workloads,Cluster administrator,"['Have existing Argo CD instance deployed', 'Understand new resource requirements']",,,"['Monitor Argo CD performance', 'Troubleshoot resource contention']",,,Patching Argo CD instance to update the resource requirements,,,,,,,,,,
,,,,,,,,,,,"['Minimize risk when removing resource constraints', 'Ensure workloads continue running after resource requirement removal', 'Reduce configuration complexity when quotas are not needed']",,configuring-resource-quota.adoc,,,,"remove-resource-requirements.adoc -> Section title, lines 7-7 and abstract lines 9-10: 'You can also remove resource requirements for all or any of your workloads after installation.' Procedure shows kubectl patch with 'remove' operations, lines 16-19.",,,,,,user_story,,,,,Modify,,"When resource quotas are no longer enforced or need to be removed, I want to delete resource requests and limits from Argo CD workloads, so I can restore default resource behavior.",core,,,User story for removing constraints. Uses kubectl patch with JSON 'remove' operation. Module type: PROCEDURE. Note: Line 19 has a typo with 'argocd argocd patch' instead of 'oc -n argocd patch'.,,,,,Configure resource requests and limits for Argo CD workloads,Cluster administrator,"['Have existing Argo CD instance with resource requirements configured', 'Understand implications of removing resource limits']",,,"['Update namespace resource quotas', 'Monitor resource utilization']",,,Removing resource requests,,,,,,,,,,
,,,medium,,,When deploying GitOps with Redis cache in production,,,,,,,,,,,"configuring-secure-communication-with-redis-reduced.adoc -> Introduction section, lines 6-15 [assembly: cicd/gitops/configuring-secure-communication-with-redis.adoc, type: ASSEMBLY]",,occasional,,,,,gitops-redis-tls-001,,Secure communication between Argo CD components and Redis cache,,,,,,,,Core security job. Two implementation options: autotls (automated) or manual TLS configuration. Supports both HA and non-HA deployments.,,So that sensitive data in transit is protected from unauthorized access,,,,,,Platform Administrator,,,,Security Administrator,,,,,high,,,,,,Configure
,,,low,,,When I want to secure Redis without manual certificate management,,,,,,,,,,,"configuring-secure-communication-with-redis-reduced.adoc -> Section 'Configuring TLS for Redis with autotls enabled', lines 20-137 [module: modules/gitops-configuring-tls-for-redis-with-autotls-enabled.adoc, type: PROCEDURE]",,occasional,,,,,gitops-redis-tls-002,,Enable automatic TLS certificate provisioning for Redis,,,,,,,,Automated approach using autotls setting. Simpler than manual configuration. Requires setting redis.autotls to 'openshift' in ArgoCD CR. Can be applied to new or existing instances.,,So that TLS encryption is configured automatically using OpenShift's certificate infrastructure,,,,,,Platform Administrator,,,,,,,,,medium,,,,,,Configure
,,,medium,,,When setting up a new GitOps deployment with secure Redis communication,,,,,,,,,,,"configuring-secure-communication-with-redis-reduced.adoc -> Section 'Configuring TLS for Redis with autotls enabled', Procedure steps 1-2 [module: modules/gitops-configuring-tls-for-redis-with-autotls-enabled.adoc, type: PROCEDURE]",,occasional,,,,,gitops-redis-tls-003,,Create an Argo CD instance with TLS-enabled Redis,,,,,,,,Involves creating ArgoCD CR via web console with redis.autotls setting. Procedure includes navigation through Administrator perspective and CRD interface.,,So that Redis cache communication is encrypted from the initial deployment,,,,,,Platform Administrator,,,,,,,,,medium,,,,,,Install
,,,low,,,When I need to add TLS encryption to Redis in an already deployed GitOps environment,,,,,,,,,,,"configuring-secure-communication-with-redis-reduced.adoc -> Section 'Configuring TLS for Redis with autotls enabled', TIP box [module: modules/gitops-configuring-tls-for-redis-with-autotls-enabled.adoc, type: PROCEDURE]",,occasional,,,,,gitops-redis-tls-004,,Enable TLS on an existing Argo CD instance,,,,,,,,"Uses oc patch command to update existing ArgoCD CR. Alternative to creating new instance. Command: oc patch argocds.argoproj.io <instance-name> --type=merge -p '{""spec"":{""redis"":{""autotls"":""openshift""}}}'",,So that I can improve security without recreating the entire Argo CD deployment,,,,,,Platform Administrator,,,,,,,,,medium,,,,,,Configure
,,,low,,,After configuring TLS for Redis,,,,,,,,,,,"configuring-secure-communication-with-redis-reduced.adoc -> Section 'Configuring TLS for Redis with autotls enabled', Procedure step about pod verification [module: modules/gitops-configuring-tls-for-redis-with-autotls-enabled.adoc, type: PROCEDURE]",,frequent,,,,,gitops-redis-tls-005,,Verify that Argo CD pods are running after TLS configuration,,,,,,,,Verification step using oc get pods. Different output expected for HA vs non-HA configurations. HA requires 3 worker nodes and shows redis-ha-server pods instead of single redis pod.,,So that I can confirm the configuration was successful and all components are operational,,,,,,Platform Administrator,,,,,,,,,low,,,,,,Verify
,,,low,,,After enabling autotls for Redis,,,,,,,,,,,"configuring-secure-communication-with-redis-reduced.adoc -> Section 'Configuring TLS for Redis with autotls enabled', Verification step for secret [module: modules/gitops-configuring-tls-for-redis-with-autotls-enabled.adoc, type: PROCEDURE]",,frequent,,,,,gitops-redis-tls-006,,Verify that the TLS secret was created correctly,,,,,,,,Uses oc get secrets to verify argocd-operator-redis-tls secret. Must be type kubernetes.io/tls with DATA=2. This validates automatic certificate provisioning.,,So that I can confirm the certificate provisioning succeeded and has the correct type and size,,,,,,Platform Administrator,,,,,,,,,low,,,,,,Verify
,,,high,,,When I need to use my own certificates instead of automatic provisioning,,,,,,,,,,,"configuring-secure-communication-with-redis-reduced.adoc -> Section 'Configuring TLS for Redis with autotls disabled', lines 139-323 [module: modules/gitops-configuring-tls-for-redis-with-autotls-disabled.adoc, type: PROCEDURE]",,occasional,,,,,gitops-redis-tls-007,,Manually configure TLS encryption for Redis with custom certificates,,,,,,,,"Manual alternative to autotls. Requires creating certificate, secret, and annotation. More complex but offers control over certificate details. Supports both HA and non-HA configurations.",,So that I can meet specific security requirements or integrate with existing PKI infrastructure,,,,,,Platform Administrator,,,,Security Administrator,,,,,medium,,,,,,Configure
,,,medium,,,When manually configuring TLS for Redis in development or test environments,,,,,,,,,,,"configuring-secure-communication-with-redis-reduced.adoc -> Section 'Configuring TLS for Redis with autotls disabled', Certificate creation steps [module: modules/gitops-configuring-tls-for-redis-with-autotls-disabled.adoc, type: PROCEDURE]",,occasional,,,,,gitops-redis-tls-008,,Create a self-signed certificate for Redis,,,,,,,,"Uses openssl to generate self-signed certificate. Different DNS names for HA vs non-HA: argocd-redis.<namespace>.svc.cluster.local vs argocd-redis-ha-haproxy.<namespace>.svc.cluster.local. RSA 4096-bit key, SHA256, 10-day validity.",,So that I can secure Redis communication without a full CA infrastructure,,,,,,Platform Administrator,,,,,,,,,low,,,,,,Configure
,,,medium,,,After generating certificate and key files for Redis,,,,,,,,,,,"configuring-secure-communication-with-redis-reduced.adoc -> Section 'Configuring TLS for Redis with autotls disabled', Secret creation step [module: modules/gitops-configuring-tls-for-redis-with-autotls-disabled.adoc, type: PROCEDURE]",,occasional,,,,,gitops-redis-tls-009,,Create the TLS secret for Redis from certificate files,,,,,,,,Uses oc create secret tls with certificate and key files from /tmp. Different filenames for HA vs non-HA. Secret name must be argocd-operator-redis-tls.,,So that the Argo CD Operator can use them to enable TLS encryption,,,,,,Platform Administrator,,,,,,,,,low,,,,,,Configure
,,,low,,,After creating the argocd-operator-redis-tls secret manually,,,,,,,,,,,"configuring-secure-communication-with-redis-reduced.adoc -> Section 'Configuring TLS for Redis with autotls disabled', Annotation step [module: modules/gitops-configuring-tls-for-redis-with-autotls-disabled.adoc, type: PROCEDURE]",,occasional,,,,,gitops-redis-tls-010,,Annotate the TLS secret to associate it with an Argo CD instance,,,,,,,,Adds annotation argocds.argoproj.io/name=<instance-name> to secret. Required for manual TLS configuration. Links secret to specific ArgoCD CR.,,So that the Operator knows which Argo CD instance should use this certificate,,,,,,Platform Administrator,,,,,,,,,low,,,,,,Configure
,,,high,,,When deploying GitOps with HA Redis to ensure resilience,,,,,,,,,,,"configuring-secure-communication-with-redis-reduced.adoc -> Both sections show HA configuration variations [modules: gitops-configuring-tls-for-redis-with-autotls-enabled.adoc and gitops-configuring-tls-for-redis-with-autotls-disabled.adoc, type: PROCEDURE]",,occasional,,,,,gitops-redis-tls-011,,Configure TLS for Redis in High Availability mode,,,,,,,,HA mode requires at least 3 worker nodes. Changes Redis architecture to redis-ha-server pods with HAProxy. Same TLS configuration methods apply (autotls or manual) but with different service names and pod counts.,,So that Redis cache is both highly available and encrypted,,,,,,Platform Administrator,,,,,,,,,high,,,,,,Configure
,,,low,,,Before securing Redis communication in a GitOps deployment,,,,,,,,,,,"configuring-secure-communication-with-redis-reduced.adoc -> Introduction section listing two configuration options [assembly: cicd/gitops/configuring-secure-communication-with-redis.adoc, type: ASSEMBLY]",,occasional,,,,,gitops-redis-tls-012,,Understand TLS configuration options for GitOps Redis,,,,,,,,"Decision point. Two options: autotls (simpler, OpenShift-managed) vs manual (more control, custom certificates). Both support HA and non-HA modes. autotls is recommended for most cases.",,So that I can choose the appropriate method based on my environment and security requirements,,,,,,Platform Administrator,,,,Security Administrator,,,,,medium,,,,,,Plan
,,,,,,,,,,,"['Minimize time to identify root cause of deployment issues', 'Ensure comprehensive visibility into GitOps operations', 'Reduce likelihood of missing critical error messages']",,viewing-argo-cd-logs.adoc,,,,"viewing-argo-cd-logs-reduced.adoc -> Section 'Viewing Argo CD logs', lines 1-9 [module: assembly, type: ASSEMBLY]. Introduction states: 'You can view the Argo CD logs with logging. Logging visualizes the logs on a Kibana dashboard.'",,,,,,main_job,,,,,Observe,,"When I need to troubleshoot GitOps deployments or understand system behavior, I want to access and view Argo CD logs, so I can diagnose issues and monitor the health of my GitOps workflows.",core,,,Main job for accessing Argo CD observability. The guide focuses on Kibana dashboard approach as the primary method.,,,,,,Platform engineer,"['Install Red Hat OpenShift GitOps Operator', 'Install Logging with default configuration']",,,"['Monitor GitOps application status', 'Troubleshoot deployment failures']",,,Viewing Argo CD logs,,,,,,,,,,
,,,,,,,,,,,"['Minimize time to locate relevant log entries', 'Reduce manual effort in log filtering', 'Ensure logs are queryable and persistent']",,viewing-argo-cd-logs.adoc,,,,"viewing-argo-cd-logs-reduced.adoc -> Section 'Storing and retrieving Argo CD logs', lines 11-53 [module: modules/gitops-storing-and-retrieving-argo-cd-logs.adoc, type: PROCEDURE]. Procedure covers: creating index patterns, navigating Kibana, creating filters for openshift-gitops namespace, and optionally filtering by pod name.",,,,,,user_story,,,,,Observe,,"When I need to troubleshoot GitOps issues, I want to use the Kibana dashboard to store and retrieve Argo CD logs with custom filters, so I can quickly find relevant log entries for specific namespaces or pods.",core,,,"User story showing the Kibana UI-based approach. This is implementation-specific (uses Kibana dashboard). Steps include: access Kibana from OpenShift console, create index pattern with '@timestamp', add filters for kubernetes.namespace_name='openshift-gitops', and optionally filter by kubernetes.pod_name.",,,,,Access and view Argo CD logs,Platform engineer,"['Install Red Hat OpenShift GitOps Operator', 'Install Logging with default configuration']",,,"['Configure index patterns for log management', 'Filter logs by namespace or pod']",,,Storing and retrieving Argo CD logs,,,,,,,,,,
,,,,,,,,,,,"['Minimize time to configure environment visibility', 'Ensure environment appears in Developer perspective', 'Reduce errors in manifest configuration']",,health-information-for-resources-deployment.adoc,,,,"health-information-for-resources-deployment-reduced.adoc -> Section 'Settings for environment labels and annotations', lines 14-79 [module: modules/go-settings-for-environment-labels-and-annotations.adoc, type: REFERENCE]. Document explains required labels (openshift.gitops/environment, destination.namespace) and annotations (app.openshift.io/vcs-uri, app.openshift.io/vcs-ref) with manifest examples.",,,,,,main_job,,,,,Prepare,,"When setting up GitOps environments, I want to configure proper labels and annotations on application and namespace manifests, so I can ensure the environment displays correctly in the OpenShift web console",core,,,Source module: modules/go-settings-for-environment-labels-and-annotations.adoc (REFERENCE). Assembly: cicd/gitops/health-information-for-resources-deployment.adoc. This is a reference module providing specifications and examples. The job focuses on preparing manifests for proper environment tracking.,,,,,,Platform Engineer,['Install Red Hat OpenShift GitOps Operator'],,,"['Deploy GitOps applications', 'Monitor environment health']",,,Settings for environment labels and annotations,,,,,,,,,,
